No.,n,n1,n-n1,p0
1,7324,5474,1850, 3/4
2,8023,6022,2001, 3/4
3,929,705,224, 3/4
4,1181,882,299, 3/4
5,580,428,152, 3/4
6,858,651,207, 3/4
7,1064,787,277, 3/4
8,57,45,12, 3/4
9,35,27,8, 3/4
10,31,24,7, 3/4
11,29,19,10, 3/4
12,43,32,11, 3/4
13,32,26,6, 3/4
14,112,88,24, 3/4
15,32,26,6, 3/4
16,34,28,6, 3/4
17,32,25,7, 3/4
18,36,25,11, 3/4
19,39,32,7, 3/4
20,19,14,5, 3/4
21,97,70,27, 3/4
22,37,24,13, 3/4
23,26,20,6, 3/4
24,45,32,13, 3/4
25,53,44,9, 3/4
26,64,50,14, 3/4
27,62,44,18, 3/4
28,556,423,133, 3/4
29,423,315,108, 3/4
30,133,101,32, 3/4
31,639,480,159, 3/4
32,480,367,113, 3/4
33,159,122,37, 3/4
34,175,127,48, 3/4
35,70,52,18, 3/4
36,78,60,18, 3/4
37,44,30,14, 3/4
38,76,60,16, 3/4
39,37,26,11, 3/4
40,79,55,24, 3/4
41,43,33,10, 3/4
42,37,30,7, 2/3
43,565,372,193, 2/3
44,519,353,166, 2/3
45,100,64,36, 2/3
46,100,71,29, 2/3
47,100,60,40, 2/3
48,100,67,33, 2/3
49,100,72,28, 2/3
50,100,65,35, 2/3
51,301,198,103, 2/3
52,102,67,35, 2/3
53,96,68,28, 2/3
54,198,138,60, 2/3
55,103,65,38, 2/3
56,367,245,122, 2/3
57,113,76,37, 2/3
58,122,79,43, 2/3
59,245,175,70, 2/3
60,122,78,44, 2/3
61,127,78,49, 2/3
62,52,38,14, 2/3
63,60,45,15, 2/3
64,30,22,8, 2/3
65,60,40,20, 2/3
66,26,17,9, 2/3
67,55,36,19, 2/3
68,33,25,8, 2/3
69,30,20,10, 1/2
70,90,43,47, 1/2
71,43,20,23, 1/2
72,47,25,22, 1/2
73,110,57,53, 1/2
74,57,31,26, 1/2
75,53,27,26, 1/2
76,87,44,43, 1/2
77,44,25,19, 1/2
78,43,22,21, 1/2
79,98,49,49, 1/2
80,49,24,25, 1/2
81,49,22,27, 1/2
82,166,87,79, 1/2
83,87,47,40, 1/2
84,79,38,41, 1/2
